name,url_x,position,born_year,hometown,height,weight,blood_type,throw_side,bat_side,draft_year,draft_round,education,koshien,year,team_x,number,b_game,b_pa,b_ab,b_r,b_h,b_2b,b_3b,b_hr,b_tb,b_rbi,b_k,b_bb,b_ibb,b_hbp,b_sh,b_sf,b_sb,b_cs,b_dp,b_e,b_avg,b_slg,b_obp,b_ops,Unnamed: 0.1,team_y,salary,_merge
坂本勇人,http://www.baseball-lab.jp/player/detail/700003,内,1988.0,兵庫,186cm,85kg,AB型,右,右,2006.0,（高）1巡目,光星学院高─巨人,True,2014,巨人,6.0,144,616,545,82,152,29,0,16,229,61,88,55,1,2,9,5,23,5,3,13,0.279,0.42,0.344,0.764,960,巨人,18000,both
坂本勇人,http://www.baseball-lab.jp/player/detail/700003,内,1988.0,兵庫,186cm,85kg,AB型,右,右,2006.0,（高）1巡目,光星学院高─巨人,True,2015,巨人,6.0,130,558,479,50,129,21,3,12,192,68,79,65,1,0,9,5,10,4,5,11,0.269,0.401,0.353,0.754,1832,巨人,22000,both
坂本勇人,http://www.baseball-lab.jp/player/detail/700003,内,1988.0,兵庫,186cm,85kg,AB型,右,右,2006.0,（高）1巡目,光星学院高─巨人,True,2016,巨人,6.0,137,576,488,96,168,28,3,23,271,75,67,81,2,0,1,6,13,3,6,16,0.344,0.555,0.433,0.988,2731,巨人,25000,both
坂本勇人,http://www.baseball-lab.jp/player/detail/700003,内,1988.0,兵庫,186cm,85kg,AB型,右,右,2006.0,（高）1巡目,光星学院高─巨人,True,2017,巨人,6.0,142,614,539,82,157,30,0,15,232,61,85,68,2,3,1,3,14,6,16,9,0.291,0.43,0.372,0.802,3641,巨人,35000,both
坂本勇人,http://www.baseball-lab.jp/player/detail/700003,内,1988.0,兵庫,186cm,85kg,AB型,右,右,2006.0,（高）1巡目,光星学院高─巨人,True,2018,巨人,6.0,109,502,441,87,152,27,2,18,237,67,83,61,10,0,0,0,9,5,4,9,0.345,0.537,0.424,0.962,4568,巨人,35000,both
坂本勇人,http://www.baseball-lab.jp/player/detail/700003,内,1988.0,兵庫,186cm,85kg,AB型,右,右,2006.0,（高）1巡目,光星学院高─巨人,True,2019,巨人,6.0,143,639,555,103,173,26,0,40,319,94,123,77,6,2,3,2,5,3,9,12,0.312,0.575,0.396,0.971,5496,巨人,50000,both
村田修一,http://www.baseball-lab.jp/player/detail/20182,内,1980.0,福岡,177cm,92kg,AB型,右,右,2002.0,自由枠,東福岡高─日大─横浜,True,2014,巨人,25.0,143,575,519,49,133,17,0,21,213,68,83,39,1,13,0,4,2,2,22,9,0.256,0.41,0.322,0.732,929,巨人,30000,both
村田修一,http://www.baseball-lab.jp/player/detail/20182,内,1980.0,福岡,177cm,92kg,AB型,右,右,2002.0,自由枠,東福岡高─日大─横浜,True,2015,巨人,25.0,103,370,330,33,78,9,0,12,123,39,65,28,2,8,2,2,1,1,12,13,0.236,0.373,0.31,0.683,1822,巨人,30000,both
村田修一,http://www.baseball-lab.jp/player/detail/20182,内,1980.0,福岡,177cm,92kg,AB型,右,右,2002.0,自由枠,東福岡高─日大─横浜,True,2016,巨人,25.0,143,576,529,58,160,32,0,25,267,81,83,38,0,5,2,2,1,3,21,15,0.302,0.505,0.354,0.858,2726,巨人,30000,both
村田修一,http://www.baseball-lab.jp/player/detail/20182,内,1980.0,福岡,177cm,92kg,AB型,右,右,2002.0,自由枠,東福岡高─日大─横浜,True,2017,巨人,25.0,118,424,381,41,100,19,0,14,161,58,63,34,0,6,1,2,0,0,15,7,0.262,0.423,0.331,0.754,3665,巨人,22000,both
阿部慎之助,http://www.baseball-lab.jp/player/detail/12049,捕,1979.0,千葉,180cm,97kg,A型,右,左,2000.0,1位,安田学園高─中大─巨人,False,2014,巨人,10.0,131,526,459,49,114,24,0,19,195,57,77,58,5,7,0,2,1,3,16,2,0.248,0.425,0.34,0.765,916,巨人,60000,both
阿部慎之助,http://www.baseball-lab.jp/player/detail/12049,捕,1979.0,千葉,180cm,97kg,A型,右,左,2000.0,1位,安田学園高─中大─巨人,False,2015,巨人,10.0,111,419,343,44,83,14,0,15,142,47,84,64,1,8,0,4,0,0,9,2,0.242,0.414,0.37,0.784,1803,巨人,51000,both
阿部慎之助,http://www.baseball-lab.jp/player/detail/12049,捕,1979.0,千葉,180cm,97kg,A型,右,左,2000.0,1位,安田学園高─中大─巨人,False,2016,巨人,10.0,91,387,335,43,104,13,0,12,153,52,55,44,1,4,1,3,0,1,8,10,0.31,0.457,0.394,0.85,2720,巨人,32600,both
