,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,year,name,team,salary
0,0,0,0,2013,阿部慎之助,巨人,57000
1,1,1,1,2013,杉内俊哉,巨人,50000
2,2,2,2,2013,田中将大,楽天,40000
3,3,3,3,2013,内海哲也,巨人,40000
4,4,4,4,2013,岩瀬仁紀,中日,37000
5,5,5,5,2013,アレックス・ラミレス,DeNA,35000
6,6,6,6,2013,和田一浩,中日,33000
7,7,7,7,2013,アンドリュー・ジョーンズ,楽天,30000
8,8,8,8,2013,中村剛也,西武,30000
9,9,9,9,2013,攝津正,ソフトバンク,29000
10,10,10,10,2013,吉見一起,中日,29000
11,11,11,11,2013,鳥谷敬,阪神,28000
12,12,12,12,2013,パディーヤ,ソフトバンク,26400
13,13,13,13,2013,李大浩,オリックス,25000
14,14,14,14,2013,新井貴浩,阪神,25000
15,15,15,15,2013,マット・マートン,阪神,24600
16,16,16,16,2013,武田久,日本ハム,24000
17,17,17,17,2013,山口鉄也,巨人,24000
18,18,18,18,2013,涌井秀章,西武,22000
19,19,19,19,2013,浅尾拓也,中日,22000
20,20,20,20,2013,村田修一,巨人,22000
21,21,21,21,2013,前田健太,広島,21000
22,22,22,22,2013,糸井嘉男,オリックス,20000
23,23,23,23,2013,五十嵐亮太,ソフトバンク,20000
24,24,24,24,2013,ブライアン・ファルケンボーグ,ソフトバンク,20000
25,25,25,25,2013,栗山巧,西武,20000
26,26,26,26,2013,稲葉篤紀,日本ハム,20000
27,27,27,27,2013,武田勝,日本ハム,20000
28,28,28,28,2013,トニ・ブランコ,DeNA,20000
29,29,29,29,2013,西岡剛,阪神,20000
30,30,30,30,2013,石川雅規,ヤクルト,20000
31,31,31,31,2013,D.J.ホールトン,巨人,20000
32,32,32,32,2013,石井一久,西武,19000
33,33,33,33,2013,館山昌平,ヤクルト,19000
34,34,34,34,2013,井端弘和,中日,19000
35,35,35,35,2013,谷繁元信,中日,19000
36,36,36,36,2013,ラヘア,ソフトバンク,18500
37,37,37,37,2013,井口資仁,ロッテ,18000
38,38,38,38,2013,本多雄一,ソフトバンク,18000
39,39,39,39,2013,三浦大輔,DeNA,18000
40,40,40,40,2013,高橋由伸,巨人,18000
41,41,41,41,2013,坂本勇人,巨人,18000
42,42,42,42,2013,内川聖一,ソフトバンク,17000
43,43,43,43,2013,荒木雅博,中日,17000
44,44,44,44,2013,宮本慎也,ヤクルト,16500
45,45,45,45,2013,里崎智也,ロッテ,16000
46,46,46,46,2013,成瀬善久,ロッテ,16000
47,47,47,47,2013,森野将彦,中日,16000
48,48,48,48,2013,長野久義,巨人,16000
49,49,49,49,2013,平野恵一,オリックス,15000
50,50,50,50,2013,後藤光尊,オリックス,15000
51,51,51,51,2013,平野佳寿,オリックス,15000
52,52,52,52,2013,岸孝之,西武,15000
53,53,53,53,2013,モーガン,DeNA,15000
54,54,54,54,2013,福留孝介,阪神,15000
55,55,55,55,2013,ジェイソン・スタンリッジ,阪神,14760
56,56,56,56,2013,今江敏晃,ロッテ,14000
57,57,57,57,2013,ウィリー・モー・ペーニャ,ソフトバンク,14000
58,58,58,58,2013,栗原健太,広島,14000
59,59,59,59,2013,馬原孝浩,オリックス,13500
60,60,60,60,2013,サブロー（大村三郎）,ロッテ,13000
61,61,61,61,2013,松井稼頭央,楽天,13000
62,62,62,62,2013,バーネット,ヤクルト,13000
63,63,63,63,2013,ブライアン・バリントン,広島,12500
64,64,64,64,2013,田中浩康,ヤクルト,12500
65,65,65,65,2013,ランディ・メッセンジャー,阪神,12300
66,66,66,66,2013,金子弌大,オリックス,12000
67,67,67,67,2013,小山伸一郎,楽天,12000
68,68,68,68,2013,森福允彦,ソフトバンク,12000
69,69,69,69,2013,ボビー・ケッペル,日本ハム,12000
70,70,70,70,2013,宮西尚生,日本ハム,12000
71,71,71,71,2013,久保康友,阪神,12000
72,72,72,72,2013,能見篤史,阪神,12000
73,73,73,73,2013,坂口智隆,オリックス,11500
74,74,74,74,2013,帆足和幸,ソフトバンク,11000
75,75,75,75,2013,多村仁志,DeNA,11000
76,76,76,76,2013,相川亮二,ヤクルト,11000
77,77,77,77,2013,岸田護,オリックス,10600
78,78,78,78,2013,小谷野栄一,日本ハム,10500
79,79,79,79,2013,ブライアン・ウルフ,日本ハム,10500
80,80,80,80,2013,ホセ・フェルナンデス,オリックス,10000
81,81,81,81,2013,井川慶,オリックス,10000
82,82,82,82,2013,薮田安彦,ロッテ,10000
83,83,83,83,2013,ケーシー・マギー,楽天,10000
84,84,84,84,2013,松田宣浩,ソフトバンク,10000
85,85,85,85,2013,山口俊,DeNA,10000
86,86,86,86,2013,大竹寛,広島,10000
87,87,87,87,2013,マニー・アコスタ,巨人,10000
88,88,88,88,2013,久保裕也,巨人,10000
89,89,89,89,2013,聖澤諒,楽天,9800
90,90,90,90,2013,片岡治大,西武,9500
91,91,91,91,2013,エステバン・ヘルマン,西武,9300
92,92,92,92,2013,陽岱鋼,日本ハム,9200
93,93,93,93,2013,福浦和也,ロッテ,9000
94,94,94,94,2013,青山浩二,楽天,9000
95,95,95,95,2013,増井浩俊,日本ハム,9000
96,96,96,96,2013,東出輝裕,広島,9000
97,97,97,97,2013,ラスティングス・ミレッジ,ヤクルト,9000
98,98,98,98,2013,金子誠,日本ハム,8900
99,99,99,99,2013,セス・グライシンガー,ロッテ,8600
100,100,100,100,2013,鉄平（土谷鉄平）,楽天,8600
101,101,101,101,2013,寺原隼人,ソフトバンク,8500
102,102,102,102,2013,中田翔,日本ハム,8500
103,103,103,103,2013,ホルヘ・ソーサ,DeNA,8500
104,104,104,104,2013,畠山和洋,ヤクルト,8500
105,105,105,105,2013,渡辺俊介,ロッテ,8000
106,106,106,106,2013,小野晋吾,ロッテ,8000
107,107,107,107,2013,長谷川勇也,ソフトバンク,8000
108,108,108,108,2013,森本稀哲,DeNA,8000
109,109,109,109,2013,石原慶幸,広島,8000
110,110,110,110,2013,ウラディミール・バレンティン,ヤクルト,8000
111,111,111,111,2013,押本健彦,ヤクルト,8000
112,112,112,112,2013,山井大介,中日,8000
113,113,113,113,2013,谷佳知,巨人,8000
114,114,114,114,2013,ホセ・ロペス,巨人,8000
115,115,115,115,2013,西村健太朗,巨人,8000
116,116,116,116,2013,スコット・マシソン,巨人,7800
117,117,117,117,2013,鶴岡慎也,日本ハム,7600
118,118,118,118,2013,キャム・ミコライオ,広島,7560
119,119,119,119,2013,エンジェルベルト・ソト,DeNA,7500
120,120,120,120,2013,関本賢太郎,阪神,7500
